smiles,frequency,length
CC1CCC(C(C)C)C(OCC(C)(O)CO)C1,1,29
CC(O)CN,1,7
CCC(=O)C(=O)O,1,13
O=C(O)CCc1ccccc1,1,16
OCc1ccc(O)cc1,1,13
O=Cc1ccc(O)cc1,1,14
O=C(O)c1ccc(O)cc1,1,17
CCCCCCC=CCCCCCCCC(=O)OCC=C(C)CCC=C(C)CCC=C(C)C,1,46
CC1=CCC2(CC1)C(C)CCC2C(C)(C)O,1,29
CCCCCCCCCCCCCC(=O)CC(=O)OCC(O)CO,1,32
CCCCCCCCCC(=O)CC(=O)OCC(O)CO,1,28
CCCC(=O)CC(=O)OCC(O)CO,1,22
O=C([O-])C1OC(OC2C(C(=O)[O-])OC(O)C(O)C2O)C(O)C(O)C1O.[K+].[K+],1,63
CC(=O)C=Cc1cc(C)cc(C)c1C,1,24
CC1C(O)C=C2CC(C)(C)C=CC21C,1,26
Cc1cc2occ(C)c2c2c1CCC(C)C2,1,26
CC=CSSC(C)CC,1,12
CC=CC(=O)OC(CC)C(C)C,1,20
CC(C)C1CC=C(CCC=O)CC1,1,21
C=C(C)C1CCC(C)CC1C(=O)NCC,1,25
CCCCCCCCCCC=CCOC(C)=O,1,21
CCC(C)CCC=O,1,11
CCOC1OC(CO)C(O)C(O)C1O.COc1cc(C=O)ccc1O,1,39
O=C(O)C(O)C(O)C(=O)O,1,20
CC(C)CC(N)C(=O)O,1,16
c1ccc2[nH]ccc2c1,1,16
O=C(O)CO,1,8
CCO,1,3
O=C(CO)CO,1,9
O=C1CCc2ccccc2O1,1,16
CC(=O)C(C)=O,1,12
CC(O)C(=O)O,1,11
CSCCC(=O)O,1,10
CCC=O,1,5
O=C(O)CC(O)C(=O)O,1,17
COc1ccccc1O,1,11
CCCCCCCC=O,1,10
CCCCCCCC(=O)O,1,13
Cc1cccc(O)c1,1,12
CCC(=O)O,1,8
CCCO,1,4
CC(O)CO,1,7
NCCc1ccccc1,1,11
O=C(O)Cc1ccccc1,1,15
O=CCc1ccccc1,1,12
O=C(O)C(=O)Cc1ccccc1,1,20
Oc1ccccc1,1,9
NC(Cc1ccccc1)C(=O)O,1,19
CCCCCCCCCCCCCCCC(=O)O,1,21
O=C(O)C(=O)CO,1,13
CCCCCCCCO,1,9
c1ccc2ccccc2c1,1,14
CC(=O)C=O,1,9
CS,1,2
CSCCC(N)C(=O)O,1,14
Cn1c(=O)c2c(ncn2C)n(C)c1=O,1,26
S=C=NCc1ccccc1,1,14
O=C(OCc1ccccc1)c1ccccc1,1,23
COc1cc(C(C)=O)ccc1O,1,19
O=C(O)c1ccc(O)cc1O,1,18
CC1CCC(C(C)C)C(O)C1,1,19
COc1cc(C=O)ccc1O,1,16
CC(C)C(N)C(=O)O,1,15
CN(C)C,1,6
C[N+](C)(C)[O-],1,15
Cc1ncsc1CCO,1,11
C1CCSC1,1,7
O=C(O)CCC(=O)O,1,14
CSC,1,3
CC(=O)C(=O)O,1,12
c1ccncc1,1,8
O=C1NS(=O)(=O)c2ccccc21,1,23
Oc1cccc(O)c1,1,12
C=CCc1cc(OC)c2c(c1)OCO2,1,23
COC(=O)c1ccccc1O,1,16
CCCCCCCCCCCC(=O)O,1,17
CC(C)O,1,6
CC(C)c1cccc(O)c(=O)c1,1,21
O=CCCCC=O,1,9
C=CCc1ccc(O)c(OC)c1,1,19
O=C(c1ccccc1)c1ccccc1,1,21
CCCCCCCCC(=O)NCc1ccc(O)c(OC)c1,1,30
CCCCCCCCCC(=O)O,1,15
Cc1ccc(O)cc1,1,12
CC12CCC(CC1)C(C)(C)O2,1,21
CCCCCCCCCCCCCCCCO,1,17
CC12CCC(CC1=O)C2(C)C,1,20
CC(C)N,1,6
CCS,1,3
CCN,1,3
CCC(C)C(N)C(=O)O,1,16
CCCCCO,1,6
CCCCCC=O,1,8
OCCc1ccccc1,1,11
CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,1,32
O=C(CO)C(O)C(O)C(O)CO,1,21
C=CCN=C=S,1,9
NC(=O)CCC(N)C(=O)O,1,18
C=CCCCCCCCCC(=O)O,1,17
NCCc1ccc(O)cc1,1,14
CC(=O)OCC(COC(C)=O)OC(C)=O,1,26
CCCCCCCCCCCCCCCCCC(=O)O,1,23
C=CCc1ccc2c(c1)OCO2,1,19
C=CC(C)(O)CCC=C(C)C,1,19
CCC(C)(O)CCCC(C)C,1,17
CC1=CC(=O)CC(C)(C)C1,1,20
C=CC(C)(CCC=C(C)C)OC(=O)C(C)C,1,29
CCCCOC(=O)CC(O)(CC(=O)OCCCC)C(=O)OCCCC,1,38
CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC,1,32
CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC,1,44
CCOC(=O)C1OC1(C)c1ccccc1,1,24
CCC(C)(O)CC,1,11
CC(=O)OC1(C)CCC23CC1C(C)(C)C2CCC3C,1,34
CC(=O)OC1CC2CCC1(C)C2(C)C,1,25
CC(C)(O)C(C)(C)O,1,16
CCC(C)(C)O,1,10
CC(C)(C)S,1,9
CC(C)(C)O,1,9
CC(C)S,1,6
CC(C)COC(=O)c1ccccc1O,1,21
CNc1ccccc1C(=O)OC,1,17
COc1c(C(C)(C)C)cc([N+](=O)[O-])c(C)c1[N+](=O)[O-],1,49
Cc1c[nH]c2ccccc12,1,17
C=C(C)C(=O)OC,1,13
CC1=CCC2CC1C2(C)C,1,17
CC(=O)OC(C)(C)C1CCC(C)CC1,1,25
C=C1C2CCC(C2)C1(C)C,1,19
CC(C)C(=O)O,1,11
COC(C)=O,1,8
C=CC(C)=O,1,9
CCC(C)=O,1,8
CCC(C)O,1,7
CC(C)C=O,1,8
CC(C)CO,1,7
CC(C)CN,1,7
COc1ccccc1OC,1,12
COc1cccc(OC)c1O,1,15
Cc1cccc2ccccc12,1,15
O=Cc1ccccc1O,1,12
Cc1ccc(C(C)C)c(O)c1,1,19
CC1=CC(=O)C(C(C)C)CC1,1,21
CC(=O)c1ccc(C)cc1C,1,18
CC1CCC(C(C)C)C(OC(=O)c2ccccc2O)C1,1,33
CC(C)=C1CCC(C)C2=C(C1)C(C)CC2,1,29
CC(C)c1ccccc1O,1,14
Cc1ccc(C(C)(C)C)c(O)c1,1,22
O=C(O)c1ccco1,1,13
